pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
2132274,J. Edward Bromberg,1903,12,25,1951,12,6,47
2718854,John Bromfield,1922,6,11,2005,9,19,83
47004244,William Bronder,1930,6,12,2015,5,6,84
208200,Charles Bronson,1921,11,3,2003,8,30,81
13129189,Tyler Brooke,1886,6,6,1943,3,2,56
4994950,Walter Brooke,1914,10,23,1986,8,20,71
24020269,David Brooks (actor),1915,9,24,1999,3,31,83
1312652,Foster Brooks,1912,5,11,2001,12,20,89
34354579,Rand Brooks,1918,9,21,2003,9,1,84
1726346,Edward Brophy,1895,2,27,1960,5,27,65
5006810,Heywood Hale Broun,1918,3,10,2001,9,5,83
1405022,Barry Brown (actor),1951,4,19,1978,6,25,27
4250220,Chad Brown (poker player),1961,8,13,2014,7,2,52
8079587,Drew Bundini Brown,1928,3,21,1987,9,24,59
28273334,Earl Jolly Brown,1939,10,18,2006,8,26,66
25198596,Graham Brown (actor),1924,10,24,2011,12,13,87
22552165,James Brown (actor),1920,3,22,1992,4,11,72
453868,Jim Brown,1936,2,17,1936,2,17,0
2165907,Joe E. Brown,1891,7,28,1973,7,6,81
1025168,Johnny Mack Brown,1904,9,1,1974,11,14,70
5430688,Peter Brown (actor),1935,10,5,2016,3,21,80
1968775,Phil Brown (actor),1916,4,30,2006,2,9,89
5641348,Tom Brown (actor),1913,1,6,1990,6,3,77
4437979,Wally Brown,1904,10,9,1961,11,13,57
2003796,Roscoe Lee Browne,1922,5,2,2007,4,11,84
31502,Tod Browning,1880,7,12,1962,10,6,82
13159700,Frank Brownlee,1874,10,11,1948,2,10,73
2390024,David Bruce (actor),1914,1,6,1976,5,3,62
4753486,Phil Bruns,1931,5,2,2012,2,8,80
31086911,William Bryant (actor),1924,1,31,2001,6,26,77
1720166,Edgar Buchanan,1903,3,20,1979,4,4,76
5851184,Frank Buck (animal collector),1884,3,17,1950,3,25,66
28081826,Floyd Buckley,1877,10,21,1956,11,14,79
2199898,Jack Buetel,1915,9,5,1989,6,27,73
26794201,Harry Bugin,1929,3,10,2005,10,6,76
8323149,Richard Bull (actor),1924,6,26,2014,2,3,89
2864112,Ray Bumatai,1952,12,20,2005,10,6,52
1725712,Edward Bunker,1933,12,31,2005,7,19,71
13504369,George Bunny,1867,7,13,1952,4,16,84
664949,Victor Buono,1938,2,3,1982,1,1,43
2092398,Sonny Bupp,1928,1,10,2007,11,1,79
760199,Frankie Burke,1915,6,6,1983,4,7,67
15322055,James Burke (actor),1886,9,24,1968,5,23,81
5614533,Paul Burke (actor),1926,7,21,2009,9,13,83
4309229,Walter Burke,1908,8,25,1984,8,4,75
6823334,Dennis Burkley,1945,9,8,2013,7,14,67
4027567,Leo Burmester,1944,2,1,2007,6,28,63
1648740,Smiley Burnette,1911,3,18,1967,2,16,55
3122598,Bob Burns (humorist),1890,8,2,1956,2,2,65
12943219,Bobby Burns,1878,9,1,1966,1,16,87
2178534,David Burns (actor),1902,6,22,1971,3,12,68
41912410,Edmund Burns,1892,9,27,1980,4,2,87
40445055,Fred Burns (actor),1878,4,24,1955,7,18,77
70020,George Burns,1896,1,20,1996,3,9,100
13181425,Neal Burns,1892,6,26,1969,10,3,77
5644414,Stephen W. Burns,1954,11,15,1990,2,22,35
18412821,Frederick Burton (actor),1871,10,20,1957,10,23,86
7465149,George Burton (actor),1898,9,17,1955,12,8,57
3942393,Norman Burton,1923,12,5,2003,11,29,79
8964977,Owen Bush,1921,11,10,2001,6,12,79
725940,Francis X. Bushman,1883,1,10,1966,8,23,83
17386653,Francis X. Bushman Jr.,1903,5,1,1978,4,16,74
37862288,Budd Buster,1891,6,14,1965,12,22,74
5641582,David Butler (director),1894,12,17,1979,6,14,84
25160757,Frank Butler (writer),1890,12,28,1967,6,10,76
7175949,Jimmy Butler (actor),1921,2,20,1945,2,18,23
1405040,Merritt Butrick,1959,9,3,1989,3,17,29
5949331,Charles Butterworth (actor),1896,7,26,1946,6,14,49
650385,Red Buttons,1919,2,5,2006,7,13,87
1675803,Pat Buttram,1915,6,19,1994,1,8,78
8201098,Ralph Byrd,1909,4,22,1952,8,18,43
11959786,Christy Cabanne,1888,4,16,1950,10,15,62
